stream_id,stream_name,hypothesis,likelihood,provenance,confidence_ci,notes
7,American Genealogical Record,H3,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
7,American Genealogical Record,H4,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
7,American Genealogical Record,H5,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
8,Burial & Birth Records,H1,0.45,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
8,Burial & Birth Records,H2,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
8,Burial & Birth Records,H3,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
8,Burial & Birth Records,H4,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
8,Burial & Birth Records,H5,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
10,Multi-Gen Birth/Genealogy,H1,0.20,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
10,Multi-Gen Birth/Genealogy,H2,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
10,Multi-Gen Birth/Genealogy,H3,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
10,Multi-Gen Birth/Genealogy,H4,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
10,Multi-Gen Birth/Genealogy,H5,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
15,Sex Ratio Skew & Fertility Strain,H1,0.15,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
15,Sex Ratio Skew & Fertility Strain,H2,0.70,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
15,Sex Ratio Skew & Fertility Strain,H3,0.65,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
15,Sex Ratio Skew & Fertility Strain,H4,0.40,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
15,Sex Ratio Skew & Fertility Strain,H5,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
20,Anthropometric Selection Bias (Steckel Heights),H1,0.15,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
20,Anthropometric Selection Bias (Steckel Heights),H2,0.65,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
20,Anthropometric Selection Bias (Steckel Heights),H3,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
20,Anthropometric Selection Bias (Steckel Heights),H4,0.25,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
20,Anthropometric Selection Bias (Steckel Heights),H5,0.80,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
21,Database Imputation Limits (SlaveVoyages),H1,0.20,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
21,Database Imputation Limits (SlaveVoyages),H2,0.70,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
21,Database Imputation Limits (SlaveVoyages),H3,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
21,Database Imputation Limits (SlaveVoyages),H4,0.30,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
21,Database Imputation Limits (SlaveVoyages),H5,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
22,Census Schedule Reclassification Patterns,H1,0.15,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
22,Census Schedule Reclassification Patterns,H2,0.75,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
22,Census Schedule Reclassification Patterns,H3,0.80,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
22,Census Schedule Reclassification Patterns,H4,0.25,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
22,Census Schedule Reclassification Patterns,H5,0.85,hand-specified (pending primary-linked derivation),,Opus: these 55 cells carry the verdict; need same audit trail as facts YAML
28,USCT Pension & Freedmen’s Bureau Marriage Testimony,H1,0.40,Sworn affidavits + Bureau self-reported; post-emancipation testimony about pre-1865 facts,,"Makes erasure claim precise (pre-1865 contemporaneous silence), not absolute. is_quantitative=0."
28,USCT Pension & Freedmen’s Bureau Marriage Testimony,H2,0.55,Sworn affidavits + Bureau self-reported; post-emancipation testimony about pre-1865 facts,,"Makes erasure claim precise (pre-1865 contemporaneous silence), not absolute. is_quantitative=0."
28,USCT Pension & Freedmen’s Bureau Marriage Testimony,H3,0.60,Sworn affidavits + Bureau self-reported; post-emancipation testimony about pre-1865 facts,,"Makes erasure claim precise (pre-1865 contemporaneous silence), not absolute. is_quantitative=0."
28,USCT Pension & Freedmen’s Bureau Marriage Testimony,H4,0.45,Sworn affidavits + Bureau self-reported; post-emancipation testimony about pre-1865 facts,,"Makes erasure claim precise (pre-1865 contemporaneous silence), not absolute. is_quantitative=0."
28,USCT Pension & Freedmen’s Bureau Marriage Testimony,H5,0.55,Sworn affidavits + Bureau self-reported; post-emancipation testimony about pre-1865 facts,,"Makes erasure claim precise (pre-1865 contemporaneous silence), not absolute. is_quantitative=0."
29,Steckel Anthropometric Signature (stunting → catch-up),H1,0.70,Shipper coastwise manifests; opposite incentive to census undercount,,Discriminating: H1 predicts joint morphological signature; H2 does not. Provisional values.
29,Steckel Anthropometric Signature (stunting → catch-up),H2,0.35,Shipper coastwise manifests; opposite incentive to census undercount,,Discriminating: H1 predicts joint morphological signature; H2 does not. Provisional values.
29,Steckel Anthropometric Signature (stunting → catch-up),H3,0.50,Shipper coastwise manifests; opposite incentive to census undercount,,Discriminating: H1 predicts joint morphological signature; H2 does not. Provisional values.
29,Steckel Anthropometric Signature (stunting → catch-up),H4,0.55,Shipper coastwise manifests; opposite incentive to census undercount,,Discriminating: H1 predicts joint morphological signature; H2 does not. Provisional values.
29,Steckel Anthropometric Signature (stunting → catch-up),H5,0.45,Shipper coastwise manifests; opposite incentive to census undercount,,Discriminating: H1 predicts joint morphological signature; H2 does not. Provisional values.
